name,easting,northing,longitude,latitude,elevation,X,Y,Z
HH163,540952.7,6601201.4,21.427735883008637,-30.72134391404091,1051.24,5109354.979622776,2005188.0745231688,-3239910.82659024
HH156,540850.5,6601201.4,21.426668466597814,-30.72134742675572,1051.28,5109392.182032145,2005092.827116983,-3239911.1818635343
HH165,540981.9,6601201.4,21.42804085909155,-30.721342908796103,1051.27,5109344.383275824,2005215.3009824567,-3239910.7460942543
HH157,540865.1,6601201.4,21.426820954667978,-30.721346925476645,1051.24,5109386.840045191,2005106.423154189,-3239911.113646115
HH183,540945.4,6601214.04,21.427659135580903,-30.721230109945683,1051.14,5109363.586489058,2005183.5542496776,-3239899.9274712754
HH180,540901.6,6601214.04,21.427201671960503,-30.721231616194103,1051.12,5109379.500775381,2005142.722317,-3239900.060832722
HH155,540835.9,6601201.4,21.42651597852382,-30.72134792785568,1051.22,5109397.443967693,2005079.199664801,-3239911.198977555
HH162,540938.1,6601201.4,21.42758339496143,-30.721344416394636,1051.25,5109360.297762269,2005174.4691289742,-3239910.879584201
HH179,540887.0,6601214.04,21.427049184079376,-30.721232117918692,1051.11,5109384.802816644,2005129.1106046068,-3239900.103549519
HH161,540923.5,6601201.4,21.4274309069104,-30.72134491856926,1051.24,5109365.599870251,2005160.8574429636,-3239910.922343825
HH185,540974.6,6601214.04,21.427964111308686,-30.721229104884525,1051.16,5109352.982166391,2005210.7775785304,-3239899.8418840203
HH164,540967.3,6601201.4,21.427888371052013,-30.721343411508062,1051.27,5109349.693466254,2005201.6924690339,-3239910.7940137316
HH160,540908.9,6601201.4,21.427278418855533,-30.72134542056477,1051.25,5109370.917956426,2005147.2520273323,-3239910.9753036397
HH60,541018.4,6601121.32,21.42842527421721,-30.722064241935314,1052.05,5109293.5171531895,2005234.897937043,-3239979.9031938515
HH124,540960.0,6601171.89,21.427813302735544,-30.72160994219355,1051.56,5109338.498345246,2005189.5736060757,-3239936.3483514097
HH40,540938.1,6601108.67,21.427587087484962,-30.72218115269078,1052.24,5109316.838542522,2005157.7935003664,-3239991.144332359
HH87,540945.4,6601146.6,21.427661821500735,-30.721838645449242,1051.79,5109331.923985346,2005171.4046205366,-3239958.2662047744
HH103,540923.5,6601159.25,21.42743258471251,-30.72172525327031,1051.63,5109345.797801689,2005153.2588199612,-3239947.3757513384
HH104,540938.1,6601159.25,21.427585073362067,-30.721724751088136,1051.65,5109340.50369604,2005166.8736474542,-3239947.338099924
HH140,540908.9,6601184.54,21.42727908973314,-30.721497554450902,1051.39,5109362.984352375,2005144.2075633914,-3239925.5485096634
HH99,540865.1,6601159.25,21.42682263007601,-30.72172726020787,1051.64,5109367.045979166,2005098.827667846,-3239947.572164463
HH117,540857.8,6601171.89,21.426745883404877,-30.721613455572243,1051.59,5109375.692845803,2005094.3230915682,-3239936.6985785807
HH58,540989.2,6601121.32,21.428120295879218,-30.722065248104403,1052.04,5109304.129638549,2005207.6778086147,-3239979.9939944004
HH12,540908.9,6601083.38,21.42728311510599,-30.722410357692436,1052.41,5109315.526008002,2005125.9970158015,-3240013.079236922
HH116,540843.2,6601171.89,21.426593394913763,-30.72161395676703,1051.69,5109381.082834158,2005080.7458905885,-3239936.797440034
HH43,540981.9,6601108.67,21.428044555565357,-30.722179645042367,1052.16,5109300.84403216,2005198.5939549091,-3239990.959751543
HH37,540894.3,6601108.67,21.4271296193701,-30.722182658727135,1052.26,5109332.784799014,2005116.974105711,-3239991.2981069675
HH54,540930.8,6601121.32,21.427510339157227,-30.72206725829321,1052.08,5109325.402303362,2005153.256266802,-3239980.2060430585
HH46,541025.7,6601108.67,21.42850202361124,-30.72217813578192,1052.25,5109284.985321339,2005239.4477033918,-3239990.8618659377
HH89,540974.6,6601146.6,21.427966799143782,-30.7218376403639,1051.82,5109321.327664811,2005198.6310930855,-3239958.1857246887
HH11,540894.3,6601083.38,21.42713062537141,-30.72241085952995,1052.48,5109320.89208172,2005112.4104293766,-3240013.162834076
HH81,540857.8,6601146.6,21.426746888479705,-30.721841656406507,1051.89,5109363.864352447,2005089.7846158117,-3239958.6043006815
HH68,540908.9,6601133.96,21.427281102396595,-30.721953956087788,1051.87,5109339.231336731,2005135.0929309442,-3239969.298646608
HH102,540908.9,6601159.25,21.42728009605913,-30.721725755273376,1051.63,5109351.10788545,2005139.650262867,-3239947.4236030574
HH23,540887.0,6601096.03,21.427053877391522,-30.722296964863208,1052.34,5109329.471848174,2005107.879477248,-3240002.234761187
HH51,540887.0,6601121.32,21.42705287157551,-30.722068764054093,1052.03,5109341.2925030105,2005112.4148739765,-3239980.324030352
HH74,540996.5,6601133.96,21.42819603641414,-30.721950941355516,1051.93,5109307.418448053,2005216.7629602868,-3239969.041930592
HH56,540960.0,6601121.32,21.427815317525884,-30.72206625355703,1052.06,5109314.766024257,2005180.4670591878,-3239980.1000528755
HH25,540916.2,6601096.03,21.427358856501403,-30.722295961192682,1052.35,5109318.85973605,2005135.0997566958,-3240002.144199061
HH70,540938.1,6601133.96,21.42758608041777,-30.721952951893496,1051.92,5109328.651154354,2005162.3257382975,-3239969.228469068
HH119,540887.0,6601171.89,21.42705086037563,-30.721612452645317,1051.51,5109365.008818736,2005121.515145881,-3239936.5621085255
HH86,540930.8,6601146.6,21.42750933267347,-30.72183914772324,1051.77,5109337.218104382,2005157.789798046,-3239958.303864852
HH126,540989.2,6601171.89,21.42811827965269,-30.72160893675905,1051.55,5109327.869961948,2005216.787493693,-3239936.247403032
HH50,540872.4,6601121.32,21.426900382373955,-30.72206926561616,1052.02,5109346.594517769,2005098.8031487444,-3239980.3667311287
HH65,540865.1,6601133.96,21.426823635336127,-30.721955461035872,1051.93,5109355.209442555,2005094.2860363447,-3239969.4727526307
HH100,540879.7,6601159.25,21.426975118740874,-30.721726758742147,1051.63,5109361.727972974,2005112.4331165885,-3239947.519255275
HH55,540945.4,6601121.32,21.427662828343472,-30.72206675601468,1052.05,5109320.0681724185,2005166.8553872695,-3239980.142839023
HH0,540901.6,6601070.74,21.42720737313499,-30.722524663914044,1052.63,5109312.325062598,2005116.9463436326,-3240024.087397803
HH52,540901.6,6601121.32,21.42720536077324,-30.722068262312913,1052.1,5109336.038475865,2005126.0454314568,-3239980.311964945
HH53,540916.2,6601121.32,21.427357849967148,-30.72206776039262,1052.07,5109330.70439819,2005139.6445734892,-3239980.2487950576
HH1,540916.2,6601070.74,21.427359863047148,-30.722524161984687,1052.62,5109307.006989626,2005130.5517679562,-3240024.034444683
HH125,540974.6,6601171.89,21.427965791196034,-30.72160943956586,1051.56,5109333.188168116,2005203.1821255458,-3239936.3004400935
HH44,540996.5,6601108.67,21.428197044917823,-30.72217914213467,1052.18,5109295.5498196175,2005212.2087410213,-3239990.922031325
HH141,540923.5,6601184.54,21.427431578027413,-30.721497052452374,1051.39,5109357.674268633,2005157.8161199053,-3239925.5006582662
HH123,540945.4,6601171.89,21.42766081427122,-30.72161044464213,1051.56,5109343.808495708,2005175.9650759078,-3239936.3962456523
HH105,540952.7,6601159.25,21.42773756200779,-30.721724248726847,1051.78,5109335.297589896,2005180.5230105962,-3239947.356627015
HH144,540967.3,6601184.54,21.427889042887248,-30.7214955453821,1051.42,5109341.767864581,2005198.651147058,-3239925.3723275973
HH36,540879.7,6601108.67,21.42697712999082,-30.722183160381032,1052.17,5109338.0228081355,2005103.337261711,-3239991.299946364
HH41,540952.7,6601108.67,21.42773957684893,-30.722180650320432,1052.18,5109311.480391209,2005171.3831941762,-3239991.0657933024
HH67,540894.3,6601133.96,21.427128613380265,-30.721954457916258,1051.9,5109344.565401036,2005121.493784003,-3239969.3618077454
HH66,540879.7,6601133.96,21.42697612436011,-30.721954959565625,1051.92,5109349.891436319,2005107.8914857814,-3239969.419843087
HH106,540967.3,6601159.25,21.427890050649683,-30.721723746186452,1051.73,5109329.9474141365,2005194.115832966,-3239947.2831806294
HH14,540938.1,6601083.38,21.427588094563657,-30.72240935348001,1052.49,5109304.969832255,2005153.2392472378,-3240013.02438481
HH145,540981.9,6601184.54,21.42804153116619,-30.721495042667133,1051.41,5109336.449671762,2005212.2565202273,-3239925.3192992522
HH143,540952.7,6601184.54,21.427736554604465,-30.721496047917974,1051.4,5109347.0620235475,2005185.0363414183,-3239925.410012906
HH38,540908.9,6601108.67,21.42728210874555,-30.722182156894135,1052.25,5109327.4667393835,2005130.5795344918,-3239991.24516292
HH45,541011.1,6601108.67,21.42834953426645,-30.722178639047858,1052.19,5109290.247578064,2005225.8203758812,-3239990.879185276
HH88,540960.0,6601146.6,21.427814310324177,-30.721838142996116,1051.86,5109326.669851453,2005185.0351352978,-3239958.254071152
HH2,540930.8,6601070.74,21.427512352955475,-30.722523659876206,1052.61,5109301.688890005,2005144.1571815407,-3240023.981474489
HH136,540850.5,6601184.54,21.426669136517795,-30.72149956065392,1051.51,5109384.320450178,2005089.8109154957,-3239925.801048382
HH138,540879.7,6601184.54,21.426974113133117,-30.721498557910635,1051.38,5109373.596437412,2005116.9872778032,-3239925.639052583
HH122,540930.8,6601171.89,21.427508325803068,-30.7216109469116,1051.54,5109349.102614694,2005162.3502539613,-3239936.4339054786
HH83,540887.0,6601146.6,21.427051866168686,-30.72184065347054,1051.78,5109353.156318162,2005116.9672501907,-3239958.4525035894
HH85,540916.2,6601146.6,21.427356843842368,-30.721839649818126,1051.77,5109342.5282015065,2005144.1812459675,-3239958.351725271
