name,easting,northing,longitude,latitude,elevation,X,Y,Z
HH177,540857.8,6601214.04,21.42674420830566,-30.721233120830526,1051.12,5109395.430826551,2005101.8965691994,-3239900.204257737
HH157,540865.1,6601201.4,21.426820954667978,-30.721346925476645,1051.24,5109386.840045191,2005106.423154189,-3239911.113646115
HH313,540974.6,6601315.19,21.427960080107937,-30.720316391791627,1050.28,5109400.546083237,2005229.029603256,-3239812.3902537017
HH219,540916.2,6601239.33,21.42735315335714,-30.721002913452743,1050.89,5109386.074997193,2005160.8912509612,-3239878.142897563
HH197,540865.1,6601226.68,21.42681994983593,-30.72111881486081,1050.98,5109398.695598792,2005110.9722914144,-3239889.236852716
HH274,540996.5,6601277.26,21.42819032217609,-30.72065789368836,1050.61,5109374.745048477,2005242.5981374432,-3239845.111736632
HH164,540967.3,6601201.4,21.427888371052013,-30.721343411508062,1051.27,5109349.693466254,2005201.6924690339,-3239910.7940137316
HH301,540981.9,6601302.55,21.428036827149683,-30.720430195728408,1050.4,5109391.955358513,2005233.5562094694,-3239823.2996729896
HH236,540908.9,6601251.97,21.42727640665123,-30.720889109118534,1050.77,5109394.665763943,2005156.3646605674,-3239867.233502004
HH182,540930.8,6601214.04,21.42750664771126,-30.721230612207606,1051.15,5109368.904615237,2005169.9488503751,-3239899.9804565236
HH315,541003.8,6601315.19,21.428265052947886,-30.72031538605033,1050.3,5109389.941654016,2005256.2528852466,-3239812.304600458
HH252,540901.6,6601264.61,21.427199660126707,-30.72077530473527,1050.66,5109403.264506073,2005151.8412004698,-3239856.3291981113
HH268,540908.9,6601277.26,21.42727540036735,-30.720660908266513,1050.55,5109406.557936007,2005160.9281270679,-3239845.3684428576
HH160,540908.9,6601201.4,21.427278418855533,-30.72134542056477,1051.25,5109370.917956426,2005147.2520273323,-3239910.9753036397
HH163,540952.7,6601201.4,21.427735883008637,-30.72134391404091,1051.24,5109354.979622776,2005188.0745231688,-3239910.82659024
HH233,540865.1,6601251.97,21.426818944617875,-30.720890614003263,1050.76,5109410.587852545,2005115.5357908902,-3239867.3718426186
HH237,540923.5,6601251.97,21.42742889398803,-30.72088860713207,1050.78,5109389.36368271,2005169.9763561303,-3239867.190760028
HH260,541018.4,6601264.61,21.42841955729331,-30.72077128456317,1050.73,5109360.839213415,2005260.7313665277,-3239855.9817451527
HH316,541018.4,6601315.19,21.428417539362105,-30.72031488291102,1050.3,5109384.631396918,2005269.8613695484,-3239812.2566397493
HH198,540879.7,6601226.68,21.42697243754331,-30.72111831340715,1050.99,5109393.393597571,2005124.5840195126,-3239889.1941616726
HH250,540872.4,6601264.61,21.42689468579676,-30.720776307987233,1050.65,5109413.876564297,2005124.6209077192,-3239856.4197220285
HH304,541025.7,6601302.55,21.428494286936516,-30.720428686572337,1050.41,5109376.032629686,2005274.3848198822,-3239823.160924482
HH240,540967.3,6601251.97,21.427886355975442,-30.720887100098068,1050.81,5109373.457278901,2005210.8113788909,-3239867.0624316623
HH309,540916.2,6601315.19,21.42735013438205,-30.720318401124995,1050.22,5109421.7386164265,2005174.5766302946,-3239812.5511383563
HH223,540974.6,6601239.33,21.427963103391612,-30.721000904064997,1051.07,5109364.978492741,2005215.3819178194,-3239878.043312627
HH234,540879.7,6601251.97,21.42697143196615,-30.720890112554123,1050.74,5109405.261843867,2005129.13809699,-3239867.3138261717
HH267,540894.3,6601277.26,21.427122913385823,-30.720661410069333,1050.54,5109411.859990535,2005147.3164213812,-3239845.411167472
HH258,540989.2,6601264.61,21.42811458302466,-30.720772290680838,1050.72,5109371.451698501,2005233.511244464,-3239856.0725422413
HH295,540894.3,6601302.55,21.42712190747252,-30.720433209204728,1050.35,5109423.776088421,2005151.8892786175,-3239823.561383544
HH302,540996.5,6601302.55,21.42818931374913,-30.720429692855483,1050.4,5109386.645141421,2005247.1647100658,-3239823.2517377273
HH222,540960.0,6601239.33,21.427810615888742,-30.721001406680593,1050.91,5109370.160630927,2005201.7231499294,-3239878.0094857947
HH266,540879.7,6601277.26,21.42697042640047,-30.720661911693046,1050.53,5109417.162018377,2005133.7047050402,-3239845.4538750136
HH196,540850.5,6601226.68,21.42666746212473,-30.721119316135354,1050.99,5109404.013578311,2005097.366833542,-3239889.2897438807
HH317,541033.0,6601315.19,21.428570025772487,-30.720314379592608,1050.32,5109379.337118058,2005283.4761246152,-3239812.2188789216
HH314,540989.2,6601315.19,21.428112566529826,-30.720315889010532,1050.3,5109395.251884447,2005242.644390246,-3239812.352544095
HH221,540945.4,6601239.33,21.42765812838204,-30.721001909117085,1050.89,5109375.454776433,2005188.1083401667,-3239878.047162017
HH286,540960.0,6601289.9,21.42780860120569,-30.720545095241885,1050.47,5109393.940203262,2005210.8482474363,-3239834.2879708423
HH201,540923.5,6601226.68,21.427429900642494,-30.721116807971512,1051.01,5109377.479431352,2005165.415999336,-3239889.0608775043
HH159,540894.3,6601201.4,21.42712593079684,-30.72134592238116,1051.22,5109376.2040061625,2005133.634038978,-3239911.007811851
HH158,540879.7,6601201.4,21.426973442734322,-30.72134642401846,1051.22,5109381.5140365455,2005120.0254614782,-3239911.0556288874
HH254,540930.8,6601264.61,21.427504634441345,-30.720774300766887,1050.67,5109392.652341145,2005179.0614505184,-3239856.2386059007
HH204,540967.3,6601226.68,21.427887363707214,-30.72111530092391,1051.03,5109361.565025024,2005206.2478831415,-3239888.9274396785
HH298,540938.1,6601302.55,21.427579367328335,-30.72043170327253,1050.35,5109407.8458372895,2005192.714940548,-3239823.4178338563
HH162,540938.1,6601201.4,21.42758339496143,-30.721344416394636,1051.25,5109360.297762269,2005174.4691289742,-3239910.879584201
HH216,540872.4,6601239.33,21.426895690791085,-30.721004418612907,1050.87,5109401.989123356,2005120.059255978,-3239878.276155671
HH308,540901.6,6601315.19,21.427197647941004,-30.720318903010583,1050.31,5109427.12070954,2005160.9963361365,-3239812.644955858
HH259,541003.8,6601264.61,21.4282670701609,-30.72077178771156,1050.74,5109366.157472944,2005247.1260218448,-3239856.0348150535
HH256,540960.0,6601264.61,21.427809608740667,-30.72077329608208,1050.69,5109382.048071971,2005206.2847984743,-3239856.1530539454
HH203,540952.7,6601226.68,21.427734876022807,-30.72111580345221,1051.03,5109366.875188768,2005192.6393596015,-3239888.9753417587
HH290,541018.4,6601289.9,21.42841854832195,-30.720543083741124,1050.5,5109372.723342353,2005265.291672665,-3239834.11155469
HH312,540960.0,6601315.19,21.42780759368221,-30.720316894393623,1050.26,5109405.840255325,2005215.4148056528,-3239812.427946236
HH300,540967.3,6601302.55,21.4278843405464,-30.72043069842222,1050.38,5109397.249543972,2005219.941416911,-3239823.337374186
HH297,540923.5,6601302.55,21.427426880713558,-30.72043220542903,1050.35,5109413.155947667,2005179.1063972677,-3239823.465700825
HH251,540887.0,6601264.61,21.427047172963647,-30.7207758064508,1050.65,5109408.566547274,2005138.2294891805,-3239856.3719143323
HH270,540938.1,6601277.26,21.427580374318918,-30.720659904123547,1050.55,5109395.937741942,2005188.145225314,-3239845.2727253498
