# max_decorr: 5%
# angle off zenith: 20 degrees
# fs_int_time:  0.10 s seconds
# post_fs_int_time: 10.00 s seconds
# n_channels: 4096
2018-09-01T00:00:00.000  0.1251
2018-10-01T00:00:00.000  0.1257
2018-11-01T00:00:00.000  0.1404
2018-12-01T00:00:00.000  0.1456
2019-01-01T00:00:00.000  0.1717
2019-02-01T00:00:00.000  0.1868
2019-03-01T00:00:00.000  0.2043
2019-08-01T00:00:00.000  0.3135
